Lab_ID,BANDNUMB,Family,AOU,Com_Name,YR,Season,MO,DAY,ASEX,AAGE,SITE_MST,LAT_DEG,LAT_MIN,LONG_DEG,LONG_MIN,ST,FLYWAY,Cult_Res,Vir_Res,ELISA_Re,PRNT_Res,PRNT_Ttr,,,,,,,,,,,,,,,,,,
US01-0116,8071-71436,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,23,F,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0117,8071-71437,Icteridae,4950,Brown-headed Cowbird,2001,Spring,4,25,F,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0118,8071-71438,Emberizidae,5870,Eastern Towhee,2001,Spring,4,25,F,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0119,0972-93080,Icteridae,4980,Red-winged Blackbird,2001,Spring,4,25,M,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0120,1013-12386,Icteridae,5110,Common Grackle,2001,Spring,4,25,M,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0121,8071-71439,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,25,M,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0122,1013-12387,Icteridae,5110,Common Grackle,2001,Spring,4,25,M,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0123,,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,25,F,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0124,2240-86325,Parulidae,6550,Myrtle Yellow-rumped Warbler,2001,Spring,4,25,M,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0125,2240-86401,Parulidae,6550,Myrtle Yellow-rumped Warbler,2001,Spring,4,25,M,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0126,8071-71440,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,25,F,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0127,8071-71441,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,26,M,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0128,8071-71442,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,26,M,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0129,8071-71443,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,26,F,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0130,,Parulidae,6840,Hooded Warbler,2001,Spring,4,26,M,AHY,CHINC,37,55,075,20,VA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
